# Constructed from biom file
#OTU ID	KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9	taxonomy
OTU_62	36.0	3.0	18.0	25.0	3.0	11.0	17.0	14.0	53.0	8.0	13.0	60.0	19.0	14.0	47.0	16.0	54.0	2.0	8.0	19.0	10.0	12.0	10.0	3.0	12.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Aeromicrobium; s__
OTU_8	260.0	52.0	153.0	249.0	44.0	101.0	117.0	163.0	411.0	181.0	102.0	265.0	148.0	112.0	344.0	228.0	285.0	59.0	48.0	202.0	58.0	112.0	45.0	51.0	69.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Kribbella; s__
OTU_58	62.0	16.0	128.0	71.0	5.0	66.0	75.0	91.0	137.0	112.0	35.0	89.0	43.0	47.0	91.0	27.0	84.0	15.0	12.0	77.0	11.0	32.0	20.0	9.0	18.0	k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__
OTU_43	103.0	11.0	34.0	58.0	3.0	36.0	62.0	34.0	72.0	60.0	31.0	114.0	26.0	25.0	111.0	62.0	61.0	16.0	15.0	44.0	13.0	20.0	10.0	6.0	26.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
OTU_16	79.0	7.0	116.0	304.0	4.0	65.0	71.0	111.0	52.0	102.0	705.0	99.0	62.0	52.0	143.0	57.0	29.0	12.0	7.0	85.0	14.0	17.0	6.0	7.0	10.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__veronii
OTU_20	316.0	83.0	205.0	306.0	40.0	157.0	147.0	177.0	358.0	252.0	146.0	840.0	120.0	194.0	499.0	126.0	280.0	50.0	39.0	254.0	70.0	163.0	47.0	33.0	55.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__paradoxus
OTU_30	60.0	36.0	39.0	54.0	4.0	51.0	34.0	48.0	54.0	92.0	39.0	99.0	35.0	44.0	62.0	26.0	33.0	7.0	4.0	49.0	3.0	57.0	3.0	4.0	6.0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__
OTU_9	408.0	75.0	159.0	386.0	24.0	174.0	125.0	208.0	398.0	188.0	118.0	418.0	166.0	144.0	414.0	233.0	252.0	41.0	30.0	160.0	43.0	159.0	30.0	32.0	40.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
OTU_37	211.0	59.0	91.0	172.0	23.0	73.0	236.0	121.0	1049.0	48.0	235.0	254.0	83.0	74.0	257.0	81.0	239.0	20.0	20.0	91.0	25.0	62.0	30.0	9.0	13.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
OTU_94	65.0	13.0	44.0	70.0	5.0	38.0	33.0	49.0	123.0	60.0	25.0	89.0	27.0	21.0	70.0	41.0	43.0	9.0	5.0	36.0	15.0	23.0	5.0	8.0	5.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium; s__
OTU_176	10.0	1.0	13.0	14.0	4.0	7.0	7.0	9.0	20.0	9.0	6.0	14.0	3.0	4.0	9.0	7.0	13.0	3.0	0.0	6.0	3.0	5.0	1.0	3.0	1.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__
OTU_783	15.0	4.0	5.0	13.0	5.0	4.0	15.0	6.0	13.0	12.0	7.0	74.0	10.0	12.0	20.0	71.0	15.0	2.0	13.0	11.0	5.0	11.0	3.0	4.0	7.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Ramlibacter; s__
OTU_10	228.0	6.0	141.0	85.0	9.0	49.0	122.0	85.0	425.0	23.0	78.0	156.0	130.0	31.0	109.0	64.0	92.0	13.0	7.0	300.0	14.0	73.0	8.0	7.0	8.0	k__Bacteria; p__TM7; c__TM7-1; o__; f__; g__; s__
OTU_38	26.0	8.0	31.0	39.0	5.0	27.0	15.0	32.0	66.0	35.0	14.0	97.0	15.0	7.0	41.0	17.0	26.0	5.0	4.0	21.0	11.0	13.0	4.0	4.0	4.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__; g__; s__
OTU_727	3.0	19.0	6.0	7.0	0.0	2.0	4.0	3.0	3.0	25.0	11.0	6.0	2.0	9.0	10.0	3.0	10.0	1.0	1.0	2.0	0.0	12.0	3.0	1.0	0.0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__
OTU_32	136.0	87.0	122.0	59.0	12.0	168.0	103.0	90.0	64.0	335.0	52.0	98.0	42.0	100.0	139.0	109.0	189.0	22.0	8.0	90.0	8.0	168.0	15.0	4.0	23.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Terrimonas; s__
OTU_14	84.0	15.0	42.0	41.0	5.0	22.0	13.0	53.0	35.0	877.0	45.0	155.0	27.0	36.0	25.0	15.0	59.0	4.0	6.0	45.0	7.0	29.0	3.0	2.0	16.0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__
OTU_53	237.0	51.0	147.0	297.0	36.0	114.0	121.0	101.0	318.0	170.0	99.0	610.0	69.0	96.0	449.0	208.0	471.0	49.0	23.0	227.0	52.0	157.0	39.0	55.0	48.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Amycolatopsis; s__
OTU_22	247.0	70.0	272.0	407.0	26.0	150.0	127.0	292.0	328.0	485.0	120.0	730.0	101.0	145.0	364.0	160.0	257.0	42.0	31.0	221.0	58.0	137.0	29.0	29.0	39.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__
OTU_410	3.0	1.0	2.0	86.0	0.0	2.0	4.0	8.0	6.0	3.0	5.0	8.0	1.0	2.0	2.0	1.0	2.0	0.0	0.0	10.0	2.0	0.0	0.0	2.0	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__succinicans
OTU_69	40.0	6.0	48.0	91.0	2.0	18.0	19.0	25.0	61.0	44.0	15.0	50.0	13.0	23.0	41.0	14.0	41.0	2.0	6.0	36.0	5.0	16.0	2.0	4.0	4.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__
OTU_185	165.0	224.0	166.0	460.0	66.0	139.0	303.0	325.0	698.0	264.0	778.0	354.0	148.0	229.0	1035.0	184.0	338.0	106.0	88.0	173.0	138.0	248.0	78.0	98.0	137.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
OTU_61	58.0	14.0	33.0	52.0	2.0	24.0	14.0	17.0	53.0	22.0	12.0	44.0	28.0	28.0	61.0	46.0	44.0	9.0	6.0	29.0	6.0	22.0	8.0	4.0	8.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
OTU_583	9.0	8.0	8.0	5.0	2.0	24.0	16.0	9.0	5.0	18.0	5.0	9.0	5.0	7.0	13.0	12.0	3.0	5.0	2.0	6.0	0.0	16.0	0.0	2.0	5.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae
OTU_85	116.0	31.0	68.0	160.0	8.0	78.0	65.0	53.0	137.0	91.0	44.0	153.0	47.0	55.0	156.0	87.0	98.0	9.0	15.0	50.0	26.0	47.0	21.0	15.0	24.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Catellatospora; s__
OTU_13	468.0	121.0	259.0	472.0	70.0	240.0	407.0	233.0	641.0	265.0	162.0	567.0	142.0	159.0	503.0	369.0	373.0	90.0	69.0	243.0	101.0	138.0	93.0	62.0	92.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Virgisporangium; s__ochraceum
OTU_4	619.0	1246.0	763.0	453.0	63.0	888.0	296.0	497.0	409.0	3401.0	443.0	703.0	243.0	764.0	825.0	673.0	946.0	160.0	71.0	474.0	85.0	1418.0	79.0	49.0	147.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Niastella; s__
OTU_138	37.0	10.0	21.0	55.0	6.0	17.0	19.0	19.0	71.0	22.0	47.0	59.0	30.0	14.0	67.0	38.0	71.0	8.0	6.0	35.0	11.0	12.0	7.0	4.0	3.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
OTU_7	760.0	150.0	390.0	536.0	68.0	275.0	307.0	281.0	839.0	330.0	223.0	845.0	305.0	316.0	673.0	361.0	479.0	80.0	71.0	354.0	97.0	259.0	65.0	80.0	86.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
OTU_18	327.0	77.0	185.0	311.0	59.0	136.0	178.0	211.0	324.0	190.0	273.0	786.0	161.0	235.0	548.0	268.0	446.0	95.0	72.0	225.0	80.0	144.0	61.0	66.0	60.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinosynnemataceae; g__; s__
OTU_314	5.0	2.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	2.0	3.0	6.0	3.0	7.0	6.0	4.0	3.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__
OTU_84	7.0	12.0	7.0	52.0	1.0	10.0	14.0	13.0	31.0	31.0	26.0	34.0	7.0	8.0	21.0	11.0	18.0	0.0	4.0	18.0	3.0	12.0	1.0	3.0	2.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Mycoplana; s__
OTU_513	54.0	6.0	47.0	53.0	5.0	29.0	35.0	24.0	41.0	55.0	16.0	61.0	21.0	24.0	53.0	19.0	49.0	6.0	6.0	32.0	14.0	10.0	9.0	4.0	7.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
OTU_59	124.0	15.0	68.0	101.0	5.0	57.0	83.0	71.0	134.0	68.0	48.0	134.0	34.0	31.0	102.0	49.0	98.0	8.0	5.0	56.0	15.0	31.0	16.0	16.0	11.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae
OTU_54	84.0	22.0	59.0	86.0	7.0	28.0	37.0	44.0	81.0	70.0	30.0	80.0	45.0	34.0	57.0	23.0	71.0	8.0	10.0	28.0	11.0	28.0	11.0	4.0	8.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
OTU_72	103.0	25.0	71.0	74.0	14.0	39.0	54.0	44.0	140.0	27.0	44.0	156.0	72.0	49.0	117.0	62.0	85.0	14.0	12.0	60.0	13.0	46.0	9.0	6.0	14.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__; s__
OTU_323	8.0	1.0	2.0	4.0	0.0	1.0	1.0	3.0	3.0	2.0	4.0	2.0	2.0	4.0	7.0	1.0	5.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__; s__
OTU_102	9.0	1.0	7.0	164.0	3.0	3.0	3.0	14.0	31.0	12.0	2.0	19.0	2.0	19.0	14.0	7.0	12.0	5.0	18.0	9.0	1.0	17.0	1.0	4.0	3.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura; s__vinacea
OTU_128	19.0	5.0	20.0	15.0	2.0	6.0	16.0	16.0	22.0	18.0	2.0	14.0	11.0	9.0	18.0	13.0	13.0	2.0	3.0	15.0	1.0	5.0	1.0	3.0	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
OTU_93	105.0	24.0	70.0	36.0	12.0	29.0	21.0	23.0	54.0	113.0	15.0	54.0	23.0	59.0	52.0	49.0	86.0	10.0	9.0	28.0	14.0	25.0	5.0	7.0	7.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__; s__
OTU_780	77.0	10.0	50.0	132.0	9.0	25.0	42.0	33.0	111.0	19.0	183.0	580.0	8.0	25.0	54.0	68.0	88.0	40.0	11.0	21.0	19.0	116.0	12.0	12.0	15.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae
OTU_938	40.0	6.0	36.0	38.0	4.0	30.0	15.0	21.0	53.0	21.0	17.0	60.0	12.0	16.0	43.0	17.0	40.0	3.0	4.0	27.0	6.0	19.0	6.0	6.0	5.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__
OTU_239	1.0	0.0	3.0	4.0	0.0	0.0	26.0	1.0	4.0	0.0	1.0	2.0	2.0	1.0	11.0	1.0	3.0	1.0	2.0	0.0	0.0	6.0	3.0	0.0	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptosporangiaceae; g__Herbidospora; s__cretacea
OTU_24	125.0	22.0	73.0	118.0	14.0	46.0	56.0	74.0	171.0	137.0	39.0	166.0	69.0	53.0	153.0	81.0	81.0	16.0	16.0	53.0	12.0	55.0	15.0	8.0	20.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__; s__
OTU_28	156.0	49.0	68.0	113.0	13.0	32.0	59.0	38.0	291.0	46.0	46.0	120.0	50.0	28.0	139.0	111.0	101.0	18.0	7.0	61.0	13.0	85.0	12.0	14.0	19.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__; s__
OTU_171	13.0	8.0	12.0	13.0	1.0	7.0	5.0	8.0	10.0	11.0	5.0	14.0	9.0	5.0	21.0	4.0	30.0	2.0	0.0	7.0	4.0	5.0	1.0	5.0	1.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__
OTU_423	5.0	4.0	4.0	5.0	0.0	6.0	8.0	5.0	10.0	1.0	3.0	13.0	2.0	4.0	4.0	3.0	3.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__
OTU_66	48.0	7.0	25.0	60.0	5.0	37.0	20.0	31.0	72.0	38.0	14.0	56.0	19.0	14.0	61.0	24.0	45.0	5.0	3.0	24.0	6.0	18.0	9.0	2.0	9.0	k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__
OTU_202	11.0	7.0	11.0	17.0	0.0	8.0	4.0	7.0	16.0	16.0	11.0	15.0	4.0	10.0	15.0	9.0	19.0	2.0	1.0	4.0	1.0	6.0	1.0	0.0	1.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__; s__
OTU_246	42.0	8.0	37.0	35.0	4.0	24.0	16.0	31.0	70.0	20.0	16.0	48.0	19.0	7.0	42.0	18.0	43.0	5.0	4.0	18.0	8.0	11.0	7.0	3.0	7.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__; s__
OTU_290	10.0	4.0	6.0	25.0	0.0	10.0	6.0	9.0	18.0	18.0	14.0	13.0	4.0	3.0	29.0	4.0	13.0	1.0	1.0	10.0	1.0	16.0	1.0	0.0	0.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__
OTU_130	9.0	2.0	7.0	7.0	1.0	6.0	4.0	7.0	6.0	3.0	6.0	38.0	6.0	4.0	14.0	0.0	20.0	0.0	3.0	19.0	3.0	21.0	4.0	0.0	1.0	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__
OTU_161	30.0	9.0	38.0	55.0	4.0	23.0	17.0	18.0	46.0	41.0	20.0	34.0	8.0	17.0	44.0	22.0	41.0	6.0	8.0	21.0	6.0	18.0	8.0	7.0	3.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__
OTU_333	1.0	1.0	0.0	3.0	0.0	2.0	4.0	4.0	5.0	3.0	1.0	7.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	5.0	1.0	0.0	1.0	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__
OTU_21	193.0	38.0	166.0	116.0	21.0	62.0	85.0	68.0	101.0	213.0	69.0	122.0	78.0	194.0	157.0	56.0	271.0	27.0	36.0	77.0	24.0	36.0	16.0	13.0	20.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__
OTU_157	16.0	1.0	12.0	17.0	2.0	4.0	12.0	6.0	24.0	7.0	6.0	14.0	5.0	9.0	12.0	12.0	13.0	4.0	2.0	5.0	2.0	8.0	4.0	3.0	2.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__scabrisporus
OTU_288	6.0	1.0	2.0	1.0	0.0	2.0	2.0	1.0	9.0	7.0	1.0	6.0	4.0	2.0	7.0	1.0	2.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
OTU_119	19.0	3.0	8.0	24.0	1.0	7.0	7.0	4.0	12.0	3.0	3.0	10.0	11.0	5.0	29.0	6.0	22.0	3.0	2.0	9.0	2.0	5.0	1.0	1.0	2.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptosporangiaceae; g__; s__
OTU_48	65.0	10.0	33.0	93.0	6.0	19.0	46.0	37.0	96.0	47.0	30.0	258.0	29.0	22.0	86.0	50.0	52.0	14.0	16.0	69.0	10.0	13.0	7.0	10.0	8.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
OTU_71	6.0	1.0	6.0	19.0	3.0	1.0	6.0	0.0	124.0	10.0	5.0	15.0	6.0	6.0	28.0	15.0	31.0	2.0	9.0	45.0	8.0	0.0	7.0	2.0	4.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cryptosporangiaceae; g__Cryptosporangium; s__
OTU_242	24.0	8.0	9.0	39.0	1.0	13.0	9.0	10.0	24.0	17.0	13.0	35.0	8.0	12.0	30.0	18.0	19.0	1.0	1.0	12.0	1.0	15.0	2.0	1.0	1.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
OTU_76	192.0	15.0	84.0	92.0	11.0	23.0	52.0	50.0	131.0	77.0	53.0	90.0	38.0	63.0	129.0	26.0	109.0	26.0	20.0	27.0	32.0	65.0	21.0	13.0	18.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Actinoplanes; s__
OTU_33	156.0	50.0	124.0	274.0	12.0	156.0	71.0	140.0	208.0	353.0	93.0	283.0	75.0	122.0	268.0	89.0	159.0	19.0	18.0	104.0	32.0	64.0	17.0	13.0	35.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Sinorhizobium; s__
OTU_233	6.0	1.0	2.0	0.0	2.0	5.0	4.0	4.0	8.0	5.0	6.0	5.0	1.0	5.0	1.0	0.0	3.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__
OTU_98	35.0	13.0	26.0	38.0	5.0	18.0	18.0	23.0	55.0	27.0	11.0	63.0	18.0	15.0	43.0	21.0	37.0	12.0	7.0	21.0	7.0	6.0	3.0	4.0	8.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Aeromicrobium; s__
OTU_350	50.0	9.0	14.0	27.0	0.0	14.0	12.0	20.0	16.0	9.0	14.0	33.0	11.0	4.0	35.0	19.0	32.0	1.0	1.0	8.0	4.0	22.0	0.0	4.0	2.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
OTU_112	9.0	5.0	24.0	39.0	6.0	10.0	17.0	10.0	32.0	14.0	3.0	27.0	8.0	10.0	19.0	13.0	17.0	7.0	13.0	9.0	3.0	8.0	5.0	3.0	3.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas; s__xylanilytica
OTU_68	6.0	0.0	0.0	5.0	2.0	9.0	3.0	103.0	30.0	1.0	0.0	15.0	9.0	37.0	17.0	5.0	3.0	1.0	4.0	0.0	4.0	1.0	5.0	6.0	0.0	k__Bacteria; p__TM7; c__SC3; o__; f__; g__; s__
OTU_90	16.0	28.0	17.0	7.0	1.0	20.0	10.0	11.0	9.0	56.0	2.0	14.0	9.0	13.0	21.0	8.0	30.0	5.0	4.0	7.0	1.0	22.0	0.0	3.0	5.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__
