#OTU ID	KO4	KO6	KO5	KO3	WT8	KO9	WT9	KO1	WT6	KO2	WT2	KO7	WT7	OE5	OE2	WT3	WT1	OE1	WT4	OE4	KO8	WT5	OE7	OE6	OE8	OE9	OE3
555858	16	12	10	6	3	3	10	3	5	8	7	11	4	0	1	9	5	0	9	0	7	5	1	1	2	1	1
1110212	24	29	21	20	2	19	4	7	10	5	11	25	10	1	0	8	5	1	11	2	8	6	1	1	3	6	0
1033018	124	72	408	98	58	160	46	57	387	51	37	250	71	40	19	41	59	32	49	16	120	38	47	37	24	30	16
467605	3240	1694	2134	10395	2239	2310	2568	1281	2178	1434	2979	3674	1700	117	110	1358	3783	107	2269	84	1945	3077	180	165	112	186	75
822776	127	147	149	219	72	204	58	158	36	137	36	199	60	43	52	54	58	44	69	43	349	44	61	55	31	33	47
511659	2821	1956	2811	3134	1704	3750	1385	2152	757	1551	699	3324	1061	729	548	901	976	562	1324	387	3593	973	981	757	478	724	442
993474	106	79	100	8	12	128	58	24	18	51	28	90	28	19	12	34	49	11	43	8	56	74	15	14	14	17	8
4360252	98	90	72	84	45	116	63	44	45	70	41	93	33	10	7	31	47	11	44	8	113	33	22	8	24	26	20
2775220	1	1	1	3	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
562008	94	82	73	37	17	132	29	31	48	43	54	132	51	12	15	32	42	10	47	3	69	50	12	8	7	15	4
982582	14	19	17	16	7	21	11	9	16	9	2	29	16	2	3	13	8	1	12	3	47	12	4	3	4	1	3
974121	128	72	273	91	5	70	17	23	641	103	57	39	74	7	3	49	49	5	76	3	20	49	8	10	5	9	4
1070563	6	6	52	6	0	2	2	0	1	6	1	7	4	0	0	1	4	0	2	2	1	1	0	0	0	1	0
656314	75	59	46	122	43	68	52	24	33	31	52	55	49	4	0	49	49	2	43	4	28	64	4	10	3	13	3
114176	87	83	115	68	51	140	61	62	69	65	46	70	42	18	11	37	35	9	46	7	99	17	18	11	13	15	6
554602	668	691	496	200	106	810	273	196	216	291	242	745	344	51	55	279	284	61	324	31	460	251	76	66	55	59	37
971270	17	14	8	11	7	11	6	5	2	9	10	20	7	4	2	4	2	4	2	0	34	5	2	1	2	5	1
562973	1243	1094	880	1601	327	1291	480	1195	288	1206	258	1370	504	150	197	328	458	143	622	116	2159	543	224	177	135	182	127
2071188	286	349	239	178	67	316	164	189	88	148	112	249	201	37	35	126	118	28	218	18	215	139	39	31	20	40	14
565130	131	53	38	25	16	82	21	14	14	23	62	172	76	8	9	30	25	6	24	8	132	57	10	14	7	9	3
247980	77	64	56	35	13	102	15	20	22	43	21	51	38	4	3	17	18	4	32	5	54	35	9	3	2	7	2
688133	122	95	116	113	35	161	69	88	32	80	63	192	71	30	24	42	43	24	64	13	117	39	48	28	32	34	24
512378	8	10	21	8	1	3	6	6	6	7	3	25	7	2	4	8	2	3	6	0	12	5	3	1	3	1	0
978255	96	93	52	51	17	147	38	34	22	68	63	96	46	18	11	29	69	11	68	9	69	59	14	12	14	17	5
704110	42	34	15	24	4	17	5	14	6	19	13	62	9	3	5	4	8	6	6	2	27	7	4	4	3	8	4
273949	151	141	124	145	115	185	136	99	77	119	71	155	83	35	17	60	78	20	82	12	182	60	47	37	28	31	10
746944	470	150	320	271	192	315	216	126	180	115	107	498	108	80	37	99	111	57	196	25	311	136	88	73	49	80	48
1083508	10	11	41	17	8	13	2	14	3	18	5	18	12	1	0	4	5	0	5	1	36	3	2	2	1	2	2
4303968	1397	932	1071	195	121	1483	858	411	213	472	440	718	523	105	160	508	310	112	506	77	1167	445	155	203	166	127	64
1108726	357	153	313	255	237	455	154	163	98	128	93	403	115	67	30	113	126	43	190	27	321	105	97	67	41	66	42
357423	187	95	76	61	22	171	21	30	41	50	73	124	62	20	10	22	42	16	29	7	126	114	18	26	29	22	12
321721	28	23	17	1	1	39	6	8	7	10	11	36	15	2	1	15	7	6	7	1	43	9	7	0	2	4	2
4323564	9	11	9	7	1	12	3	1	4	3	7	12	3	2	0	2	0	1	2	0	6	4	2	2	1	0	0
1074016	375	222	381	954	234	757	266	139	123	179	207	433	143	76	64	110	109	59	263	54	354	114	127	76	66	80	54
4358255	97	51	57	15	7	56	10	26	111	25	69	215	31	5	4	16	26	17	37	5	85	16	9	7	4	5	4
1062748	106	39	46	32	2	64	18	12	8	47	35	56	36	8	12	18	35	7	35	2	66	22	22	10	8	9	1
225687	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0
4335433	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
254401	104	81	92	54	35	112	36	46	34	38	31	126	60	9	7	44	31	11	51	4	88	39	7	13	10	12	4
253573	167	143	159	175	35	189	54	73	66	179	91	206	105	24	15	62	93	19	144	9	171	73	16	16	14	18	11
591683	8	8	5	8	0	18	4	1	0	2	2	6	4	0	0	3	1	0	5	0	12	4	1	0	1	1	0
1107985	60	58	33	29	11	73	10	16	20	20	34	48	25	7	1	19	24	6	24	6	43	31	9	8	4	18	1
533994	785	414	589	331	223	720	272	288	179	212	272	882	257	103	78	294	232	107	339	57	419	322	209	136	104	156	75
1048878	412	278	254	202	66	711	138	168	115	172	120	295	216	28	29	95	132	35	155	18	224	97	61	35	31	39	23
4379537	253	248	222	96	50	248	106	76	80	103	78	230	99	20	12	103	104	17	123	15	162	152	24	26	22	19	10
246240	120	72	110	119	70	138	63	93	31	67	31	121	28	40	24	37	41	20	50	9	137	39	37	29	21	22	18
4310319	384	288	330	60	46	520	239	130	68	173	141	251	158	75	82	163	96	58	161	29	294	152	95	95	115	68	31
809485	62	60	54	91	35	97	57	44	38	37	33	54	49	4	4	35	50	3	48	5	31	26	3	7	4	6	4
207780	120	144	113	277	57	217	57	102	27	139	26	191	40	40	52	71	68	43	35	50	446	28	54	46	31	37	50
561647	10	9	10	15	6	20	3	6	3	8	2	10	6	4	4	4	4	1	6	1	12	3	6	5	6	0	3
436590	397	378	315	144	45	458	169	121	158	213	161	447	168	43	29	172	190	37	210	20	210	265	48	42	32	73	16
588492	3	5	6	3	2	6	2	0	5	3	8	5	3	1	2	2	0	0	6	0	1	4	0	1	0	0	1
810167	2748	912	2148	1061	1012	2403	858	818	902	959	593	1791	563	303	257	651	737	250	1026	214	1314	834	440	322	192	382	199
1119093	1	2	2	1	0	0	0	0	3	0	3	9	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0
1129719	47	155	27	35	14	74	19	28	27	20	8	34	62	5	6	2	47	4	23	9	35	15	22	11	17	12	5
810888	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4364412	4	4	7	1	1	6	3	2	0	4	4	6	1	0	0	3	0	1	3	1	0	3	0	0	0	0	1
220686	41	34	33	34	19	56	18	25	16	14	16	39	10	14	15	11	15	9	19	7	40	23	18	11	8	10	10
585537	14	9	13	14	2	11	2	2	4	6	4	9	7	1	1	5	8	3	10	0	5	11	1	6	0	2	0
2850546	2	5	1	4	1	4	3	2	3	1	1	2	3	1	1	2	1	0	0	0	4	2	0	0	0	0	0
266211	8	3	6	18	5	9	5	4	3	1	3	10	4	4	2	7	5	1	6	2	9	3	10	2	2	0	2
279358	23	19	37	3	3	37	8	3	4	8	12	21	9	2	1	5	6	2	13	1	10	11	2	3	0	1	0
113599	36	19	21	11	2	37	4	7	23	11	21	65	5	3	0	4	22	3	10	4	15	4	4	4	4	8	4
287179	22	15	21	21	10	30	10	20	5	6	10	18	9	5	3	10	5	8	13	4	29	11	13	13	10	8	8
4477117	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
261435	41	25	39	34	8	96	13	7	13	31	15	66	21	4	4	15	27	4	32	1	26	17	11	4	4	4	4
3116475	51	51	55	123	39	74	46	44	26	42	8	87	17	3	12	15	20	6	29	2	81	34	8	13	9	7	3
591942	78	25	24	27	20	308	11	17	11	9	15	72	233	10	7	15	12	14	27	12	37	14	13	14	6	20	8
516561	419	217	221	146	59	414	110	186	191	131	128	216	153	40	39	112	105	48	151	26	343	183	57	72	44	41	33
4354368	100	75	69	118	14	110	35	57	36	49	29	72	69	4	2	41	66	5	106	9	59	26	7	12	2	7	2
551472	370	396	323	248	59	435	147	169	137	224	169	413	206	46	32	124	164	37	178	23	263	227	53	44	27	42	16
155487	199	84	136	30	34	281	71	23	47	71	29	116	39	13	19	46	60	14	74	6	125	113	24	14	19	15	8
1037111	81	74	41	243	71	54	77	61	21	73	46	25	44	8	7	21	95	14	40	11	121	59	11	15	2	19	5
822419	130	110	103	197	57	268	50	101	34	178	24	259	74	53	45	53	84	33	39	45	380	28	56	34	32	25	43
822432	199	191	150	200	98	239	149	136	95	147	77	171	123	15	13	85	96	16	144	17	149	72	15	26	9	28	6
538315	147	117	107	58	16	133	56	37	78	61	48	243	67	30	17	34	61	23	38	11	108	98	31	21	28	33	18
554163	74	38	325	20	6	98	47	24	103	19	24	76	20	4	5	43	43	2	23	4	13	69	10	1	2	3	2
277521	108	80	67	46	32	105	44	64	39	52	31	104	52	28	26	36	29	27	36	11	88	43	33	27	16	35	10
1106796	17	17	27	18	12	27	13	15	20	10	5	6	14	7	0	14	12	2	14	1	10	6	2	2	2	3	6
248618	162	174	151	66	50	234	76	81	64	84	92	213	120	22	21	75	81	21	102	5	146	101	27	11	26	24	13
544457	276	152	161	117	34	376	60	64	37	82	71	106	95	9	15	46	65	26	27	12	321	140	31	27	31	22	19
636385	14	9	22	31	12	34	5	5	5	7	10	18	10	0	0	7	8	0	7	2	8	5	0	0	0	1	0
696181	89	47	100	288	13	374	25	43	18	136	25	79	62	9	8	30	35	9	35	6	57	35	15	11	5	13	4
582813	122	160	135	45	5	189	33	69	34	80	36	131	87	25	19	44	49	30	44	8	94	48	67	41	27	20	17
941487	252	149	315	1588	265	535	240	90	470	119	196	225	151	52	40	133	143	33	338	35	211	127	74	56	44	40	36
976319	0	1	83	2	0	3	0	1	1	1	0	2	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0
4299907	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
253863	14	9	14	0	2	10	2	1	6	4	4	9	0	0	0	1	3	0	1	0	3	8	1	1	0	0	0
250148	226	247	245	120	111	280	76	68	134	125	123	328	69	52	26	93	106	27	88	14	154	189	32	41	22	44	13
731014	75	46	60	49	11	83	21	32	28	28	27	76	20	9	6	21	49	5	34	10	33	60	17	7	11	10	6
940828	236	135	126	91	29	192	56	84	47	95	88	174	104	32	20	70	74	32	53	14	150	107	41	21	23	37	17
1138512	3	4	4	0	3	2	1	1	0	1	4	2	0	1	0	0	0	0	1	0	2	1	0	0	0	1	0
1026261	26	25	27	8	7	28	7	16	7	12	11	27	13	2	0	16	11	3	8	0	24	16	2	3	1	3	2
952203	376	294	390	801	251	653	168	268	114	268	117	547	122	77	76	114	143	63	256	35	591	87	128	97	61	101	80
4035617	228	60	174	81	58	147	42	47	78	82	53	136	30	28	12	43	58	17	82	12	82	69	25	21	14	33	16
4479944	3	0	1	2	1	2	1	0	1	3	3	4	2	1	1	0	1	0	1	0	2	0	0	1	0	0	0
835543	222	224	176	78	41	247	62	74	81	122	150	283	126	27	29	57	83	47	75	23	166	150	40	42	26	40	27
819400	376	364	379	169	86	460	149	159	130	199	140	418	179	53	50	135	156	57	178	42	248	266	74	55	45	64	41
526994	162	145	150	137	66	150	44	42	31	69	68	156	49	16	20	49	71	18	62	6	92	114	25	20	20	18	18
142425	517	89	217	121	145	186	148	114	602	64	94	375	63	54	43	63	79	38	193	20	168	75	80	54	58	81	32
1110732	241	164	154	1177	409	213	428	245	131	222	84	115	133	21	16	70	256	20	133	30	266	203	27	51	18	38	20
3875675	202	206	239	440	161	368	107	146	100	140	65	325	68	46	44	73	91	27	151	20	328	62	88	68	24	52	60
4308303	0	2	0	0	0	1	1	0	1	0	0	3	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
339660	584	673	458	293	131	758	223	287	190	344	271	679	291	52	49	265	238	54	255	39	401	308	75	58	61	69	30
940737	209	150	188	108	109	572	154	73	62	81	60	317	67	40	44	82	72	37	86	28	235	80	62	67	29	56	30
584319	58	42	34	21	7	65	29	14	16	19	12	48	34	1	5	9	20	3	12	2	46	19	5	9	6	7	6
12000	112	81	71	17	15	106	21	14	71	41	16	80	25	12	8	17	29	13	16	4	44	64	11	11	10	7	5
798634	22	22	24	18	15	27	13	4	8	10	8	24	9	6	8	16	6	8	9	6	16	9	10	9	7	11	5
749133	134	150	87	160	133	157	140	124	74	138	74	149	104	15	16	61	76	16	69	16	152	43	22	27	12	24	12
920852	295	205	234	226	88	263	101	161	83	234	70	299	126	21	23	111	106	19	138	11	340	203	47	29	17	33	24
1049387	102	96	199	70	21	128	60	42	71	61	50	87	62	11	5	39	42	10	83	9	114	51	23	13	8	10	2
