KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	0.00225173475484	0.000547395310647	0.00475148483901	0.00228692775759	0.0013783597519	0.00131734035915	0.00574420126518	0.0047040376323	0.000716402357615	0.00115129151292	0.000834471248672	0.0022393705553	0.00292427145306	0.00196621031168	0.00150713376649	0.000868751670676	0.00168323180507	0.00126262626263	0.000873108265425	0.0037055874446	0.0010593220339	0.00208483105679	0.000657462195924	0.00107257776189	0.000488042947779
k__Bacteria;Other;Other	0.000183815082027	0.0	0.000250078149422	0.000122513987014	0.0	0.000277334812452	7.271140842e-05	0.000130667712008	0.00016281871764	0.000236162361624	0.000531027158246	0.000121047057043	0.000302510839972	0.000145645208273	0.000234443030344	0.000267308206362	4.00769477397e-05	0.000252525252525	0.0	0.000217975732035	0.0	0.000503235082674	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.000643352787096	9.12325517745e-05	0.000562675836199	0.000735083922081	0.000344589937974	0.000346668515565	0.00087253690104	0.000522670848033	0.000423328665863	0.000206642066421	0.000531027158246	0.000272355878348	0.000907532519915	0.000436935624818	0.000468886060687	0.000400962309543	0.000320615581917	0.000505050505051	0.00058207217695	0.000508610041415	0.0	0.000287562904385	0.000328731097962	0.0	0.00024402147389
k__Bacteria;p__Acidobacteria;c__Sva0725	0.000551445246082	9.12325517745e-05	0.000187558612066	0.000326703965369	0.0	0.000346668515565	7.271140842e-05	0.000196001568013	0.000390764922335	0.00079704797048	0.000379305113033	0.000121047057043	0.000605021679944	0.000145645208273	0.000401902337732	0.0	0.000160307790959	0.000252525252525	0.0	0.00029063430938	0.0	0.000143781452193	0.000328731097962	0.000715051841258	0.000488042947779
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.00693901934654	0.00200711613904	0.00806502031885	0.00588067137665	0.00585802894555	0.00520002773348	0.00792554351778	0.00594538089638	0.00550327265622	0.00366051660517	0.00371719010772	0.00523528521713	0.00675607542604	0.00589863093504	0.00532520597495	0.00527933707565	0.00533023404937	0.00353535353535	0.00611175785797	0.00595800334229	0.00635593220339	0.00366642703091	0.00788954635108	0.00715051841258	0.00512445095168
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.282248058453	0.136301432351	0.283401062832	0.229550373668	0.3094417643	0.176107605907	0.213916963572	0.200052267085	0.23416587971	0.155040590406	0.178956152329	0.240974428809	0.216799435313	0.277308476551	0.248777547056	0.251069232825	0.328430586727	0.27297979798	0.295692665891	0.251543994769	0.277754237288	0.172034507549	0.298816568047	0.322130854487	0.255734504636
k__Bacteria;p__Actinobacteria;c__MB-A2-108	0.00284913377143	0.00145972082839	0.00800250078149	0.00289949769265	0.00172294968987	0.00457602440546	0.0054533556315	0.00594538089638	0.00446123286333	0.00330627306273	0.00265513579123	0.00269329701922	0.00433598870626	0.00342266239441	0.00304775939447	0.00180433039294	0.00336646361013	0.00378787878788	0.0034924330617	0.00559471045557	0.00233050847458	0.00230050323508	0.00657462195924	0.00321773328566	0.00439238653001
k__Bacteria;p__Actinobacteria;c__Rubrobacteria	0.000137861311521	9.12325517745e-05	0.000187558612066	0.000204189978356	0.0	0.0	0.0003635570421	0.000718672416046	0.00016281871764	0.000118081180812	7.58610226066e-05	0.000151308821304	0.000201673893315	0.000291290416545	0.000234443030344	6.68270515905e-05	0.000160307790959	0.0	0.000291036088475	0.00029063430938	0.0	0.0	0.0	0.000357525920629	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.0154864206608	0.00510902289937	0.0146920912785	0.0133540245845	0.00930392832529	0.0112320599043	0.019050389006	0.0169214687051	0.0148816307923	0.00678966789668	0.0110757093006	0.0106218792556	0.0101845316124	0.00910282551704	0.0108848549802	0.00888799786153	0.0124238537993	0.00883838383838	0.00727590221187	0.0135871539635	0.00889830508475	0.00769230769231	0.0138067061144	0.0128709331427	0.00902879453392
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]	0.000367630164055	0.000638627862421	0.000312597686777	0.000163351982685	0.000689179875948	0.000554669624905	0.00029084563368	0.000326669280021	0.000130254974112	0.000177121771218	7.58610226066e-05	0.000332879406869	0.000605021679944	0.000364113020682	0.000468886060687	0.000200481154771	0.000320615581917	0.000505050505051	0.000291036088475	0.000508610041415	0.000635593220339	0.00107836089145	0.000328731097962	0.0	0.000732064421669
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.0184734157438	0.0212571845635	0.0183182244451	0.0140891085066	0.00689179875948	0.0160854191222	0.0182505635134	0.0177708088331	0.0100296330066	0.0387306273063	0.0197238658777	0.0195793614768	0.0169406070384	0.0188610544713	0.011286757318	0.0111601176156	0.0156700865662	0.0113636363636	0.00844004656577	0.0189638886871	0.00720338983051	0.0213515456506	0.00591715976331	0.00786557025384	0.0129331381162
