KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales	0.00225173475484	0.000547395310647	0.00475148483901	0.00228692775759	0.0013783597519	0.00131734035915	0.00574420126518	0.0047040376323	0.000716402357615	0.00115129151292	0.000834471248672	0.0022393705553	0.00292427145306	0.00196621031168	0.00150713376649	0.000868751670676	0.00168323180507	0.00126262626263	0.000873108265425	0.0037055874446	0.0010593220339	0.00208483105679	0.000657462195924	0.00107257776189	0.000488042947779
k__Bacteria;Other;Other;Other	0.000183815082027	0.0	0.000250078149422	0.000122513987014	0.0	0.000277334812452	7.271140842e-05	0.000130667712008	0.00016281871764	0.000236162361624	0.000531027158246	0.000121047057043	0.000302510839972	0.000145645208273	0.000234443030344	0.000267308206362	4.00769477397e-05	0.000252525252525	0.0	0.000217975732035	0.0	0.000503235082674	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.000643352787096	9.12325517745e-05	0.000562675836199	0.000735083922081	0.000344589937974	0.000346668515565	0.00087253690104	0.000522670848033	0.000423328665863	0.000206642066421	0.000531027158246	0.000272355878348	0.000907532519915	0.000436935624818	0.000468886060687	0.000400962309543	0.000320615581917	0.000505050505051	0.00058207217695	0.000508610041415	0.0	0.000287562904385	0.000328731097962	0.0	0.00024402147389
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725	0.000551445246082	9.12325517745e-05	0.000187558612066	0.000326703965369	0.0	0.000346668515565	7.271140842e-05	0.000196001568013	0.000390764922335	0.00079704797048	0.000379305113033	0.000121047057043	0.000605021679944	0.000145645208273	0.000401902337732	0.0	0.000160307790959	0.000252525252525	0.0	0.00029063430938	0.0	0.000143781452193	0.000328731097962	0.000715051841258	0.000488042947779
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.00693901934654	0.00200711613904	0.00806502031885	0.00588067137665	0.00585802894555	0.00520002773348	0.00792554351778	0.00594538089638	0.00550327265622	0.00366051660517	0.00371719010772	0.00523528521713	0.00675607542604	0.00589863093504	0.00532520597495	0.00527933707565	0.00533023404937	0.00353535353535	0.00611175785797	0.00595800334229	0.00635593220339	0.00366642703091	0.00788954635108	0.00715051841258	0.00512445095168
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.282248058453	0.136301432351	0.283401062832	0.229550373668	0.3094417643	0.176107605907	0.213916963572	0.200052267085	0.23416587971	0.155040590406	0.178956152329	0.240974428809	0.216799435313	0.277308476551	0.248777547056	0.251069232825	0.328430586727	0.27297979798	0.295692665891	0.251543994769	0.277754237288	0.172034507549	0.298816568047	0.322130854487	0.255734504636
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14	0.00284913377143	0.00145972082839	0.00800250078149	0.00289949769265	0.00172294968987	0.00457602440546	0.0054533556315	0.00594538089638	0.00446123286333	0.00330627306273	0.00265513579123	0.00269329701922	0.00433598870626	0.00342266239441	0.00304775939447	0.00180433039294	0.00336646361013	0.00378787878788	0.0034924330617	0.00559471045557	0.00233050847458	0.00230050323508	0.00657462195924	0.00321773328566	0.00439238653001
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales	0.000137861311521	9.12325517745e-05	0.000187558612066	0.000204189978356	0.0	0.0	0.0003635570421	0.000718672416046	0.00016281871764	0.000118081180812	7.58610226066e-05	0.000151308821304	0.000201673893315	0.000291290416545	0.000234443030344	6.68270515905e-05	0.000160307790959	0.0	0.000291036088475	0.00029063430938	0.0	0.0	0.0	0.000357525920629	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	0.00542254491981	0.00182465103549	0.00593935604877	0.0045330175195	0.00447966919366	0.00388268737433	0.00719842943358	0.00594538089638	0.00540558142564	0.00271586715867	0.00409649522076	0.0036314117113	0.00373096702632	0.00364113020682	0.0037510884855	0.00294039026998	0.00412792561718	0.0040404040404	0.0034924330617	0.00392356317663	0.00233050847458	0.00294751976995	0.00460223537147	0.00357525920629	0.0024402147389
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	0.010063875741	0.00328437186388	0.00875273522976	0.00882100706497	0.00482425913163	0.00734937252999	0.0118519595725	0.0109760878087	0.00947604936664	0.00407380073801	0.00697921407981	0.00699046754426	0.00645356458606	0.00546169531022	0.00713376649474	0.00594760759155	0.00829592818211	0.00479797979798	0.00378346915017	0.00966359078689	0.00656779661017	0.00474478792236	0.00920447074293	0.00929567393636	0.00658857979502
