KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__	0.00225173475484	0.000547395310647	0.00475148483901	0.00228692775759	0.0013783597519	0.00131734035915	0.00574420126518	0.0047040376323	0.000716402357615	0.00115129151292	0.000834471248672	0.0022393705553	0.00292427145306	0.00196621031168	0.00150713376649	0.000868751670676	0.00168323180507	0.00126262626263	0.000873108265425	0.0037055874446	0.0010593220339	0.00208483105679	0.000657462195924	0.00107257776189	0.000488042947779
k__Bacteria;Other;Other;Other;Other;Other	0.000183815082027	0.0	0.000250078149422	0.000122513987014	0.0	0.000277334812452	7.271140842e-05	0.000130667712008	0.00016281871764	0.000236162361624	0.000531027158246	0.000121047057043	0.000302510839972	0.000145645208273	0.000234443030344	0.000267308206362	4.00769477397e-05	0.000252525252525	0.0	0.000217975732035	0.0	0.000503235082674	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	0.000643352787096	9.12325517745e-05	0.000562675836199	0.000735083922081	0.000344589937974	0.000346668515565	0.00087253690104	0.000522670848033	0.000423328665863	0.000206642066421	0.000531027158246	0.000272355878348	0.000907532519915	0.000436935624818	0.000468886060687	0.000400962309543	0.000320615581917	0.000505050505051	0.00058207217695	0.000508610041415	0.0	0.000287562904385	0.000328731097962	0.0	0.00024402147389
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__	0.000551445246082	9.12325517745e-05	0.000187558612066	0.000326703965369	0.0	0.000346668515565	7.271140842e-05	0.000196001568013	0.000390764922335	0.00079704797048	0.000379305113033	0.000121047057043	0.000605021679944	0.000145645208273	0.000401902337732	0.0	0.000160307790959	0.000252525252525	0.0	0.00029063430938	0.0	0.000143781452193	0.000328731097962	0.000715051841258	0.000488042947779
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	0.00611185147741	0.00173341848371	0.00725226633323	0.00559480540695	0.00585802894555	0.00457602440546	0.007271140842	0.00548804390435	0.00491712527272	0.00351291512915	0.00326202397208	0.00499319110304	0.00635272763941	0.00582580833091	0.00505727108313	0.0049452018177	0.00508977236294	0.00353535353535	0.00552968568102	0.00574002761026	0.00614406779661	0.00330697340043	0.00756081525312	0.00715051841258	0.00488042947779
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__	0.000827167869124	0.000273697655323	0.000812753985621	0.000285865969698	0.0	0.000624003328018	0.00065440267578	0.000457336992029	0.000586147383503	0.000147601476015	0.00045516613564	0.000242094114087	0.000403347786629	7.28226041363e-05	0.000267934891821	0.000334135257952	0.000240461686438	0.0	0.00058207217695	0.000217975732035	0.00021186440678	0.000359453630482	0.000328731097962	0.0	0.00024402147389
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__	0.0150268829557	0.00702490648663	0.0115661144108	0.0127006166537	0.0203308063405	0.00942938362338	0.0129426306988	0.0137854436169	0.0105506529031	0.00560885608856	0.0207100591716	0.023785746709	0.0162347484118	0.017113311972	0.0183535400898	0.0179096498262	0.0178743186919	0.0239898989899	0.0209545983702	0.0163481799026	0.0169491525424	0.0103522645579	0.0200525969757	0.0235967107615	0.0146412884334
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Saccharothrix	0.000965029180644	9.12325517745e-05	0.000500156298843	0.00220525176624	0.000689179875948	0.000208001109339	0.00123609394314	0.000130667712008	0.000488456152919	0.000236162361624	7.58610226066e-05	0.000696020578	0.000705858626601	0.000655403437227	0.000736820952509	0.000601443464314	0.000681308111574	0.00378787878788	0.0011641443539	0.000871902928141	0.000847457627119	7.18907260963e-05	0.00131492439185	0.00214515552378	0.00146412884334
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas	0.000413583934562	0.000456162758872	0.00150046889653	0.00159268183118	0.00206753962784	0.000693337031131	0.00123609394314	0.000653338560042	0.00104203979289	0.000413284132841	0.00022758306782	0.000817067635043	0.000806695573258	0.000728226041363	0.000636345368076	0.000868751670676	0.000681308111574	0.00176767676768	0.00378346915017	0.000653927196106	0.000635593220339	0.000575125808771	0.00164365548981	0.00107257776189	0.000732064421669
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__Cryptosporangium	0.000275722623041	9.12325517745e-05	0.000375117224133	0.000775921917752	0.00103376981392	6.93337031131e-05	0.00043626845052	0.0	0.00403790419747	0.00029520295203	0.000379305113033	0.000453926463913	0.000605021679944	0.000436935624818	0.000937772121375	0.00100240577386	0.00124238537993	0.000505050505051	0.00261932479627	0.00326963598053	0.00169491525424	0.0	0.00230111768573	0.000715051841258	0.000976085895559
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__	0.00137861311521	0.00082109296597	0.00237574241951	0.00224608976191	0.0013783597519	0.0015946751716	0.00123609394314	0.00117600940808	0.00149793220229	0.00121033210332	0.00151722045213	0.00102889998487	0.000806695573258	0.00123798427032	0.00147364190502	0.00147019513499	0.00164315485733	0.00151515151515	0.0023282887078	0.00152583012425	0.00127118644068	0.00129403306973	0.00262984878369	0.0025026814444	0.000732064421669
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus	0.000597399016589	0.000273697655323	0.000250078149422	0.000245027974027	0.000689179875948	0.000208001109339	0.00050897985894	0.000326669280021	0.000488456152919	0.000206642066421	0.000303444090426	0.000151308821304	0.000302510839972	0.0	0.000334918614777	0.000534616412724	0.000120230843219	0.000757575757576	0.00174621653085	0.00014531715469	0.000847457627119	0.000215672178289	0.000328731097962	0.00107257776189	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Glycomycetaceae;g__Glycomyces	0.00321676393548	0.000456162758872	0.00675211003439	0.00069424592641	0.00241212956582	0.000693337031131	0.0014542281684	0.00104534169607	0.00100947604937	0.00212546125461	0.000758610226066	0.000726282342261	0.000403347786629	0.00269443635304	0.00110523142876	0.000868751670676	0.00384738698301	0.000757575757576	0.00174621653085	0.00058126861876	0.000635593220339	0.000575125808771	0.00131492439185	0.00178762960315	0.00146412884334
